,ID,Test No,TB,Tem.,Inj. Back pressure,Cylinder,PumpType        (eg:CB18-16),No. of Plunger,No. of Lobe,Devolume ,Ratio,Plunger lift_mm,Injector  Type,Needle Lift,Armature lift,Nozzle Flow Rate_ cm3/30s@100bar,holes Num.,K/ks,DSP,Rail Type,Volume,PRT,RIT,"w/ PLV 
or PCV",ECU Type,HPP P2R_Length,HPP P2R_ID,HPP P2R_OD,HPP R2I_Length,HPP R2I_ID,HPP R2I_OD,Unnamed: 31,Unnamed: 32,Pump type,Plunger Num.,Cam lobes,Plunger lift_mm.1,Geometrical fuel delivery:mm3/rev
,258.0,2012/056,H1906,40.0,0.5,4.0,CP1H-16,3.0,1.0,843.0, 2/3,6.9,CRI2-16,0.85,40,500.0,8.0,K=0,0.151,HFR,15.0,no,0.85,w/o PLV and PCV,EDC17CV44_5.03,486.0,3.0,6.35,179.4,3.0,6.35,,,,,,,
,259.0,2012/054,H1906,40.0,0.5,4.0,CP1H,3.0,1.0,843.0,0.5,6.9,CRI2-16,0.85,40,380.0,7.0,Ks1.3,0.1297,HFR,15.0,no,no,w/o PLV and PCV,EDC17C08_4.40,420.4,3.0,6.35,272.6,3.0,6.35,,,,,,,
,260.0,2012/053,H1908,40.0,0.5,4.0,CP1H-16,3.0,1.0,843.0, 2/3,6.9,CRI2-16,0.85,40,355.0,7.0,Ks1.3,0.1254,HFR,15.0,no,no,w/o PLV and PCV,EDC17C53-1.10,238.5,3.0,6.35,303.0,3.0,6.35,,,,,,,
,261.0,2012/050,H1902,40.0,0.5,6.0,CPN2-16,2.0,3.0,3619.0,0.5,12.0,CRIN2-16-BL,0.3,52,690.0,8.0,Ks1.3,0.1619,HFR,26.5,1.1,1.1,w/PLV,EDC17CV44_5.03,485.0,3.6,8.0,306.0,3.6,8.0,,,,,,,
,262.0,2012/049,H1902,40.0,0.5,4.0,CP1H-16,3.0,1.0,843.0, 2/3,6.9,CRI2-16,0.85,40,240.0,6.0,K=1,0.1138,HFR,15.0,no,0.85,w/o PLV and PCV,EDC17C08_4.40,380.9,3.0,6.35,462.0,3.0,6.35,,,,,,,
,263.0,2012/047,H1907,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI2-16,0.85,40,375.0,8.0,Ks1.3,0.121,HFR,17.36,no,no,w/o PLV and PCV,EDC17CV44_5.03,210.0,3.0,6.35,330.0,3.0,6.35,,,,,,,
,264.0,2012/041,H1908,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI2-16,0.85,40,400.0,8.0,Ks1.3,0.1243,HFR,17.4,no,no,w/o PLV and PCV,EDC17CV44_5.03,210.0,3.0,6.35,330.0,3.0,6.35,,,,,,,
,265.0,2012/040,H1906,40.0,0.5,6.0,CB28-18,2.0,2.0,2032.0,0.5,11.5,CRIN2-16-BL,0.3,52,450.0,8.0,Ks1.3,0.1322,HFR,26.5,1.1,1.1,w/PLV,EDC17CV44_5.03,485.0,3.6,8.0,306.0,3.6,8.0,,,,,,,
,266.0,2012/039,H1906,40.0,0.5,4.0,CP3.3N-16,3.0,1.0,1087.0, 1/1,8.2,CRIN2-16-BL,0.25,52,500.0,8.0,Ks1.3,0.138,HFR,18.0,no,0.85,w/PLV,EDC17CV44_5.03,668.8,3.6,8.0,228.0,3.0,6.35,,,,,,,
,268.0,2012/032,H1906,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI2-16,0.85,40,375.0,7.0,K=0,0.1398,HFR,17.36,no,no,w/PLV,EDC17CV44_5.03,266.0,3.0,6.35,197.0,3.0,6.35,,,,,,,
