3injectors,17,794,,Injector:O445B29762_00,,,,,,,,,,,,,,,
,277,0.32,0.53,0.78,0.94,1.01,1.31,1.45,1.59,1.62,1.60,1.56,1.77,1.77,2.13,1.96,1.75,2.43,
,280,0.33,0.49,0.75,0.96,0.99,1.35,1.41,1.65,1.62,1.61,1.53,1.82,1.92,2.28,2.26,2.02,2.84,
,283,0.33,0.51,0.83,0.99,1.05,1.35,1.52,1.79,1.72,1.73,1.68,1.97,2.14,2.72,2.90,2.69,3.59,
,286,0.34,0.53,0.82,1.01,1.09,1.46,1.64,1.83,1.79,1.75,1.81,2.14,2.53,2.98,3.20,3.19,3.73,
,289,0.40,0.61,0.84,1.08,1.17,1.51,1.70,2.00,1.90,1.74,1.84,2.15,2.58,3.10,3.48,3.38,4.15,
,292,0.41,0.61,0.88,1.09,1.24,1.59,1.75,2.07,1.97,1.88,2.00,2.25,2.68,3.29,3.71,3.74,4.57,
,295,0.39,0.62,0.90,1.11,1.37,1.63,1.86,2.17,2.25,1.93,2.25,2.53,3.12,3.80,4.23,4.21,5.26,
,298,0.44,0.61,1.01,1.16,1.41,1.72,1.98,2.39,2.20,2.10,2.37,2.76,3.31,4.27,5.05,4.90,6.26,
,301,0.41,0.68,1.05,1.21,1.42,1.82,2.15,2.53,2.42,2.40,2.91,3.12,3.80,4.61,6.07,5.84,7.16,
,304,0.49,0.70,1.05,1.26,1.57,1.85,2.24,2.68,2.86,2.72,3.31,3.43,4.36,5.37,6.50,6.45,7.92,
,307,0.51,0.77,1.07,1.35,1.59,1.99,2.39,2.81,2.97,2.87,3.55,3.66,4.86,5.87,6.80,7.01,8.49,
,310,0.51,0.82,1.14,1.40,1.73,2.06,2.53,3.01,3.24,3.30,4.10,4.16,5.34,6.35,7.44,7.72,9.14,
,313,0.53,0.82,1.22,1.50,1.81,2.09,2.61,3.27,3.49,3.66,4.32,4.41,5.84,6.85,7.85,8.73,9.50,
,316,0.59,0.87,1.27,1.62,1.93,2.26,2.84,3.82,4.00,4.54,5.01,5.05,6.30,7.23,8.32,9.25,10.36,
,319,0.61,0.95,1.32,1.71,2.07,2.47,3.09,4.10,4.40,5.22,5.27,5.93,7.08,7.88,8.61,9.80,10.53,
,322,0.68,0.97,1.43,1.75,2.20,2.71,3.35,4.38,4.86,5.73,5.51,6.21,7.19,8.05,8.86,9.87,10.96,
