3injectors,13,794,,Injector:0445B2905E,,,,,,,,,,,,,,,,,,,,,
,328,0.55,1.02,1.71,2.39,3.33,4.23,4.90,5.76,7.82,9.33,10.16,11.30,13.04,,,,,,,,,,,
,331,0.58,1.09,1.76,2.54,3.49,4.34,5.33,6.08,8.27,9.82,10.72,12.29,13.40,,,,,,,,,,,
,334,0.59,1.14,1.83,2.54,3.47,4.49,5.69,6.48,8.43,9.83,10.91,12.50,13.58,,,,,,,,,,,
,337,0.61,1.22,1.90,2.68,3.70,4.92,6.07,6.92,8.67,10.11,11.42,12.65,13.67,,,,,,,,,,,
,340,0.68,1.29,1.99,2.83,3.96,5.00,6.42,7.08,8.96,10.42,11.52,12.68,13.78,,,,,,,,,,,
,343,0.69,1.30,2.04,2.96,4.03,5.24,6.73,8.10,9.22,10.59,11.89,13.01,13.85,,,,,,,,,,,
,346,0.74,1.34,2.20,3.15,4.39,5.39,7.22,8.46,9.41,10.65,11.81,13.26,14.03,,,,,,,,,,,
,349,0.77,1.46,2.23,3.30,4.46,5.71,7.49,8.60,9.45,10.51,12.02,13.38,14.30,,,,,,,,,,,
,352,0.82,1.50,2.48,3.49,4.77,6.18,7.60,9.02,9.57,10.81,12.33,13.96,14.83,,,,,,,,,,,
,355,0.87,1.61,2.58,3.66,4.91,6.36,7.71,9.37,9.62,10.95,12.49,13.70,14.69,,,,,,,,,,,
,358,0.95,1.68,2.70,3.87,4.93,6.43,7.83,9.50,9.69,11.10,12.42,13.85,14.95,,,,,,,,,,,
,361,0.95,1.77,2.80,4.05,5.06,6.43,7.94,9.64,9.76,11.19,12.65,13.89,15.13,,,,,,,,,,,
,364,0.99,1.87,2.95,4.17,5.28,6.58,8.05,9.66,9.90,11.33,12.80,14.35,15.14,,,,,,,,,,,
,367,1.04,2.00,3.03,4.35,5.31,6.76,8.03,9.73,10.05,11.35,13.01,14.49,15.28,,,,,,,,,,,
,370,1.16,2.03,3.11,4.45,5.38,6.97,8.43,9.82,10.12,11.58,13.05,14.43,15.79,,,,,,,,,,,
,373,1.20,2.16,3.27,4.47,5.48,6.87,8.60,9.84,10.25,11.86,13.26,15.05,15.80,,,,,,,,,,,
,376,1.24,2.23,3.56,4.59,5.58,7.06,8.85,9.74,10.61,11.97,13.16,14.81,16.06,,,,,,,,,,,
,379,1.30,2.25,3.57,4.65,5.70,7.26,8.97,9.94,10.82,11.92,13.35,14.99,16.70,,,,,,,,,,,
,382,1.40,2.27,3.56,4.67,5.75,7.40,9.03,10.08,10.81,12.25,13.57,15.30,16.78,,,,,,,,,,,
